"AcademicLevel","InternationalStudent","CountryOfOrigin"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Miscellaneous","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Junior","True","China"
"Junior","True","China"
"Junior","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Doctoral","True","China"
"Doctoral","True","China"
"Junior","True","China"
"Junior","True","China"
"Junior","True","China"
"Junior","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
